youtube_id,start_time,end_time,label
5xVh-7ywKpE,0,10,playing guitar
86MNwW0O2uY,30,40,jumping jack
xNghG-ZSZG4,10,20,riding bicycle
1ZahRkGt0p0,15,25,dribbling basketball
9U8u7q6n4R8,0,10,swimming
p2vFjQXj1nE,20,30,punching bag
6qyEgmFqX8E,5,15,dancing hip hop
nEOs2x0p3uU,12,22,running
3mpMxEF_EwM,0,10,cooking
wHsxk1Oyk-s,30,40,playing violin
GQogK6Ff8gU,0,10,playing guitar
2-l5uS_5T8E,0,10,jumping jack
afI9Ko6eCQE,3,13,riding bicycle
z5o3fyqCk9M,8,18,dribbling basketball
t5q0kO5eKvk,0,10,swimming
DWv0NCSw7rI,25,35,punching bag
Tt4rS2zWVzo,10,20,dancing hip hop
FkcZVuyVwWw,5,15,running
0t1NDO7xj6A,0,10,cooking
Kdp7YkWz23o,18,28,playing violin
